Table 7
Luminosities of Massive Clumps^a

Source	logL_IR	L"(HCN 1-0)	L"(HCN 3-2)	L"(CS 7-6)	L"(CS 5-4)^b	L"(CS 2-1)	
59.78+0.06	4.10	1.53(09)			0.58(16)	1.33(14)	
S87	4.53	1.74(06)				1.41(08)	
S88B	5.03	1.69(16)	0.89(17)	0.47(15)	0.60(12)	1.08(10)	
K3-50	6.32	2.68(08)			1.95(15)	2.32(13)	
ON1	5.16	2.26(09)		1.18(20)	1.45(14)	2.14(10)	
ON2S	5.71	2.42(14)	2.21(17)	2.13(13)	1.96(12)	2.33(13)	
ON2N				1.73(22)	1.67(13)		
S106	5.71	2.26(09)	1.64(12)	1.25(44)	1.13(21)	2.02(11)	
W75N	5.29	2.11(07)	1.66(06)	1.50(08)	1.56(11)	1.90(11)	
DR21S	5.70	0.29(06)	0.99(05)	0.81(11)	1.43(12)	2.11(10)	
W75(OH)	4.70	2.39(09)	1.64(19)	1.64(10)	1.54(11)	2.24(08)	
BFS 11-B	3.88			-0.40(31)	0.03(39)		
CEPA	4.92	0.93(12)	0.47(10)			0.91(14)	
S158	5.29	2.40(07)	1.71(12)		1.63(10)	2.25(08)	
S158A			1.67(08)				
NGC7538-IRS9			1.31(29)				
S157	4.35	1.56(14)	0.84(22)	0.60(32)	0.73(13)	1.25(22)	
	
IRAS19094	4.47	1.86(45)				1.38(10)	
IRAS20050	2.47	0.38(39)	-0.27(48) 			0.25(70)	
IRAS20106	3.16	0.48(34)				0.23(30)	
IRAS20126	4.78	1.74(09)				1.35(17)	
IRAS20188	2.48	-0.15(10)	-0.76(11)			-0.24(14)	
IRAS20216	3.47	0.65(14)				0.24(19)	
IRAS20220	4.78	2.02(25)				1.94(81)	
IRAS20333	3.96	1.23(08)	0.54(47)			0.77(13)	
IRAS21391	2.43	0.41(14)	-0.08(26)			0.35(11)	
IRAS22172	3.56	0.99(20)				0.70(30)	
IRAS22198	2.97	0.63(27)				0.56(25)	
IRAS23011	1.95	0.11(18)	-0.81(28)			-0.11(28)	
IRAS23385	4.73	2.01(17)				1.77(17)	
L483	1.11		-1.91(89)				
IRAS03282	0.08	-0.81(53)	-2.37(98)			-0.99(01)	
L1251B	1.04	-0.80(17)				-0.75(35)	
	
Mean^c	 4.7x10^5	359(103)	79(21)	64(24)	77(18)	272(94)	
Median^c	1.06x10^5	148	43	16	29	91	

Notes.
a Values in this table are in log scale, except the mean and median at the bottom. Numbers in the parentheses are uncertainties of the line luminosity in the log scale, in the unit of 0.01.
b Converted from Shirley et al. (2003).
c Statistics on massive dense clumps only, which does not include the sources below the horizontal line. Values and uncertainties (in the parentheses) are in the unit of K km s-1 pc2.
